,Name,SMILES,cid,molecular_formula,sdf
79,L-lyxose-5-phosphate,C([C@@H]([C@H]([C@H](C=O)O)O)O)OP(=O)(O)O,88508108,C5H11O8P,88508108.sdf
80,α-D-glucose-1-phosphate,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)O,65533,C6H13O9P,65533.sdf
81,D-glucose-6-phosphate,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O,439284,C6H13O9P,439284.sdf
82,2'-deoxy-D-glucose-6-phosphate,C1[C@H]([C@@H]([C@H](O[C@H]1O)COP(=O)(O)O)O)O,46936435,C6H13O8P,46936435.sdf
83,α-D-galactose-1-phosphate,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)O,123912,C6H13O9P,123912.sdf
84,α-mannose-1-phosphate,C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OP(=O)(O)O)O)O)O)O,439279,C6H13O9P,439279.sdf
85,D-mannose-6-phosphate,C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O)O)O)O)OP(=O)(O)O,447096,C6H13O9P,447096.sdf
86,6'-phosphogluconic acid,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)O,91493,C6H13O10P,91493.sdf
87,D-galactose-6-phosphate,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O,9859975,C6H13O9P,9859975.sdf
88,D-allose-6-phosphate,C([C@H]([C@H]([C@H]([C@H](C=O)O)O)O)O)OP(=O)(O)O,5459942,C6H13O9P,5459942.sdf
89,D-2'-keto-glucose-6-phosphate,O=CC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,0,C6H11O9P,G89.sdf
90,D-3'-deoxy-glucose-6-phosphate,C([C@H](C=O)O)[C@@H]([C@@H](COP(=O)(O)O)O)O,22880771,C6H13O8P,22880771.sdf
91,D-glucose-3-phosphate,O=P(O)(O)O[C@@H]1[C@@H](O)[C@@H](O)O[C@@H]1[C@H](O)CO,0,C6H13O9P,G91.sdf
92,D-allose-3-phosphate,O=P(O)(O)O[C@H]1[C@@H](O)[C@@H](O)O[C@@H]1[C@H](O)CO,0,C6H13O9P,G92.sdf
93,D-mannose-2-phosphate,C([C@H]([C@H]([C@@H]([C@@H](C=O)OP(=O)(O)O)O)O)O)O,20839100,C6H13O9P,20839100.sdf
94,L-glucose-3-phosphate,O=P(O)(O)O[C@H]1[C@H]([C@@H](O)CO)O[C@@H](O)[C@H]1O,0,C6H13O9P,G94.sdf
95,O-phosphoethanolamine,C(COP(=O)(O)O)N,1015,C2H8NO4P,1015.sdf
96,phosphocholine,C[N+](C)(C)CCOP(=O)(O)O,1014,C5H15NO4P+,1014.sdf
97,O-phospho-L-serine,C([C@@H](C(=O)O)N)OP(=O)(O)O,68841,C3H8NO6P,68841.sdf
98,O-phospho-L-threonine,C[C@H]([C@@H](C(=O)O)N)OP(=O)(O)O,3246323,C4H10NO6P,3246323.sdf
99,O-phospho-L-tyrosine,C1=CC(=CC=C1C[C@@H](C(=O)O)N)OP(=O)(O)O,30819,C9H12NO6P,30819.sdf
100,histidinol-phosphate,C1=C(NC=N1)C[C@@H](COP(=O)(O)O)N,439398,C6H12N3O4P,439398.sdf
101,Glucosamine-6'-phosphate,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)N)O)O)OP(=O)(O)O,439217,C6H14NO8P,439217.sdf
102,a-D-glucosamine-1-phosphate,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OP(=O)(O)O)N)O)O)O,9965052,C6H14NO8P,9965052.sdf
103,N-acetyl-mannosamine-6-phosphate,CC(=O)N[C@H]1[C@H]([C@@H]([C@H](O[C@H]1O)COP(=O)(O)O)O)O,101265229,C8H16NO9P,101265229.sdf
104,Pyrophosphate,OP(=O)(O)OP(=O)(O)O,1023,H4O7P2,1023.sdf
105,imidodiphosphate (PNP),N(P(=O)(O)O)P(=O)(O)O,122874,H5NO6P2,122874.sdf
106,Thiamine-pyrophosphate,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O,1132,C12H19N4O7P2S+,1132.sdf
107,ATP,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,5957,C10H16N5O13P3,5957.sdf
108,ADP,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)N,6022,C10H15N5O10P2,6022.sdf
109,UTP,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,6133,C9H15N2O15P3,6133.sdf
110,UDP,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O,6031,C9H14N2O12P2,6031.sdf
111,TTP,CC1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,451388,C10H17N2O15P3,451388.sdf
112,TDP,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O,164628,C10H16N2O11P2,164628.sdf
113,CTP,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,6176,C9H16N3O14P3,6176.sdf
114,CDP,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O,6132,C9H15N3O11P2,6132.sdf
115,GTP,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N,135398633,C10H16N5O14P3,G115.sdf
116,GDP,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N,135398619,C10H15N5O11P2,G116.sdf
117,ITP,C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,135398643,C10H15N4O14P3,G117.sdf
118,IDP,C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O,135398651,C10H14N4O11P2,G118.sdf
119,dATP,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,15993,C10H16N5O12P3,15993.sdf
120,dCTP,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,65091,C9H16N3O13P3,65091.sdf
121,dGTP,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,135398599,C10H16N5O13P3,G121.sdf
122,dTTP,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,64968,C10H17N2O14P3,64968.sdf
123,Uridine-5'-diphosphoglucuronic acid,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)O)O,17473,C15H22N2O18P2,17473.sdf
124,trehalose-6-phosphate,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)O)O)O)O)O,122336,C12H23O14P,122336.sdf
125,sucrose-6-phosphate,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)O)O)O)O,644101,C12H23O14P,644101.sdf
126,PNPP,C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)O,378,C6H6NO6P,378.sdf
127,Acetyl-phosphate,CC(=O)OP(=O)(O)O,186,C2H5O5P,186.sdf
128,Carbamyl-phosphate,C(=O)(N)OP(=O)(O)O,278,CH4NO5P,278.sdf
129,dihydroxyacetone phosphate,C(C(=O)COP(=O)(O)O)O,668,C3H7O6P,668.sdf
130,D-xylulose-5-phosphate,C([C@H]([C@@H](C(=O)CO)O)O)OP(=O)(O)O,439190,C5H11O8P,439190.sdf
131,D-ribulose-5-phosphate,C([C@H]([C@H](C(=O)CO)O)O)OP(=O)(O)O,439184,C5H11O8P,439184.sdf
132,L-ribulose-5-phosphate,C([C@@H]([C@@H](C(=O)CO)O)O)OP(=O)(O)O,439399,C5H11O8P,439399.sdf
133,D-fructose-6-phosphate,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O,440641,C6H13O9P,440641.sdf
134,D-tagatose-6-phosphate,C([C@@H]1[C@@H]([C@@H]([C@@](O1)(CO)O)O)O)OP(=O)(O)O,124155,C6H13O9P,124155.sdf
135,D-psicose-6-phosphate,C([C@@H]1[C@H]([C@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O,16760431,C6H13O9P,16760431.sdf
136,L-sorbose-1-phosphate,C([C@H]1[C@H]([C@@H]([C@@](O1)(COP(=O)(O)O)O)O)O)O,90658051,C6H13O9P,90658051.sdf
137,L-sorbose-4-phosphate,O=P(O)(O)O[C@H]1[C@H](O)[C@H](CO)O[C@]1(O)CO,0,C6H13O9P,G137.sdf
138,D-sedoheptulose-7-phosphate,C([C@H]([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O)OP(=O)(O)O,165007,C7H15O10P,165007.sdf
139,pyridoxal-5'-phosphate,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O,1051,C8H10NO6P,1051.sdf
140,Coenzyme A,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O,87642,C21H36N7O16P3S,G140.sdf
141,FMN,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O,643976,C17H21N4O9P,643976.sdf
142,NADP,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N,5885,C21H28N7O17P3,5885.sdf
143,5'-AMP,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N,6083,C10H14N5O7P,6083.sdf
144,3'-AMP,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)(O)O)O)N,41211,C10H14N5O7P,41211.sdf
145,dAMP,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O,12599,C10H14N5O6P,12599.sdf
146,UMP,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O,6030,C9H13N2O9P,6030.sdf
147,dUMP,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O,65063,C9H13N2O8P,65063.sdf
148,dTMP,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)O)O,9700,C10H15N2O8P,9700.sdf
149,CMP,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O,6131,C9H14N3O8P,6131.sdf
150,dCMP,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)O)O,13945,C9H14N3O7P,13945.sdf
151,GMP,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N=C(NC2=O)N,135398631,C10H14N5O8P,135398631.sdf
152,dGMP,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)O)O,135398597,C10H14N5O7P,135398597.sdf
153,IMP,C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,135398640,C10H13N4O8P,135398640.sdf
154,2'-AMP,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)OP(=O)(O)O)N,94136,C10H14N5O7P,94136.sdf
