,Substrate,Name_efi,fuzz_ratio,fuzz_partial_ratio,human_curation
62,D-Galactitol-1-P  ,D-galactitol-1-phosphate,D-galactitol-1-phosphate,D-galactitol-1-phosphate,
63,D-Galactitol-5-P  ,D-galactitol-5-phosphate,D-galactitol-5-phosphate,D-galactitol-5-phosphate,
64,D-Mannitol-1-P    ,D-mannitol-1-phosphate,D-mannitol-1-phosphate,D-mannitol-1-phosphate,
65,D-Mannitol-4-P    ,D-mannitol-4-phosphate,D-mannitol-4-phosphate,D-mannitol-4-phosphate,
66,D-Mannitol-5-P    ,D-mannitol-5-phosphate,D-mannitol-5-phosphate,D-mannitol-5-phosphate,
67,DL-glyceraldehyde 3-phosphate,DL-glyceraldehyde-3-phosphate,DL-glyceraldehyde-3-phosphate,DL-glyceraldehyde-3-phosphate,
68,erythrose-4-phosphate,D-erythrose-4-phosphate,D-erythrose-4-phosphate,D-erythrose-4-phosphate,
69,arabinose 5-phosphate,D-arabinose-5-phosphate,D-arabinose-5-phosphate,D-arabinose-5-phosphate,
70,D-Ribose 5-phosphate,D-ribose-5-phosphate,D-ribose-5-phosphate,D-ribose-5-phosphate,
71,2-deoxyribose 5-phosphate ,2'-deoxyribose-5-phosphate,2'-deoxyribose-5-phosphate,2'-deoxyribose-5-phosphate,
72,D-xylose-3-phosphate,D-xylose-3-phosphate,D-xylose-3-phosphate,D-xylose-3-phosphate,
73,L-Ribose-5-P      ,L-Ribose-5-phosphate,L-Ribose-5-phosphate,L-Ribose-5-phosphate,
74,L-Arabinose-5-P  ,L-arabinose-5-phosphate,L-arabinose-5-phosphate,L-arabinose-5-phosphate,
75,D-Xylose-5-P      ,D-xylose-5-phosphate,D-xylose-5-phosphate,D-xylose-5-phosphate,
76,L-Xylose-3-P      ,L-xylose-3-phosphate,L-xylose-3-phosphate,L-xylose-3-phosphate,
77,L-Xylose-5-P      ,L-xylose-5-phosphate,L-xylose-5-phosphate,L-xylose-5-phosphate,
78,D-Lyxose-5-P      ,D-lyxose-5-phosphate,D-lyxose-5-phosphate,D-lyxose-5-phosphate,
79,L-Lyxose-5-P      ,L-lyxose-5-phosphate,L-lyxose-5-phosphate,L-lyxose-5-phosphate,
80,alpha-D-glucose-1-phosphate,α-D-glucose-1-phosphate,α-D-glucose-1-phosphate,α-D-glucose-1-phosphate,
81,D-glucose-6-phosphate,D-glucose-6-phosphate,D-glucose-6-phosphate,2'-deoxy-D-glucose-6-phosphate,
82,2-Deoxy-D-glucose 6-phosphate,2'-deoxy-D-glucose-6-phosphate,2'-deoxy-D-glucose-6-phosphate,D-glucose-6-phosphate,
83,alpha D-galactose 1-phosphate,α-D-galactose-1-phosphate,α-D-galactose-1-phosphate,D-galactose-6-phosphate,
84,alpha-D-mannose 1-phosphate,��-mannose-1-phosphate,D-mannose-6-phosphate,D-mannose-6-phosphate,��-mannose-1-phosphate
85,D-mannose 6-phosphate,D-mannose-6-phosphate,D-mannose-6-phosphate,D-mannose-6-phosphate,
86,6-phosphogluconic acid,6'-phosphogluconic acid,6'-phosphogluconic acid,6'-phosphogluconic acid,
87,D-Galactose-6-phosphate,D-galactose-6-phosphate,D-galactose-6-phosphate,D-galactose-6-phosphate,
88,D-allose-6-phosphate,D-allose-6-phosphate,D-allose-6-phosphate,D-allose-6-phosphate,
